Utstein Data Element,Formula,Variables to collect
Event notification,Event notification,Event notification
Time point of occurrence of disaster,,DD:HH:MM of occurrence of disaster
Activation of disaster medical management plan (DMMP),Activation of disaster medical management plan (DMMP),Activation of disaster medical management plan (DMMP)
Systemic trigger criteria for activation of the DMMP,,
Time point of activation of the DMMP,,DD:HH:MM of 	DMMP activation
Time point of notifications of the first appropriate staff person to assume medical management coordination role,,DD:HH:MM of notification of point person to assume medical management coordination
Time point that the last staff person notified has reported to the appropriate location mentioned in the DMMP,,DD:HH:MM of the arrival of the last person notified as per the DMMP
The percentage of medical staff on the call-down list who reported at the appropriate location in the predetermined time delineated in the DMMP,,Number of medical staff on a fixed contact list who arrived at the designated location by time t based on the specific DMMP standard | Time of arrival of medical staff at the designated location | Total number of medical staff on a fixed contact list contacted
Disaster medical operations coordination,Disaster medical operations coordination,Disaster medical operations coordination
On-scene initial actions by first medical responder,,Adequacy of on-scene initial actions | 1 = Not Done | 2 = Inadequate | 3 = Somewhat Adequate | 4 = Mostly Adequate | 5 = Completely Adequate | 6 = N/S | 7 = N/D
On-scene medical control and coordination,,Adequacy of on-scene medical control and coordination | 1 = Not Done | 2 = Inadequate | 3 = Somewhat Adequate | 4 = Mostly Adequate | 5 = Completely Adequate | 6 = N/S | 7 = N/D
System-level medical coordination,,Adequacy of system-level medical coordination | 1 = Not Done | 2 = Inadequate | 3 = Somewhat Adequate | 4 = Mostly Adequate | 5 = Completely Adequate | 6 = N/S | 7 = N/D
Medical communications and information management,,Adequacy of medical communications and information management | 1 = Not Done | 2 = Inadequate | 3 = Somewhat Adequate | 4 = Mostly Adequate | 5 = Completely Adequate | 6 = N/S | 7 = N/D
Medical resource management,,Adequacy of medical resource management | 1 = Not Done | 2 = Inadequate | 3 = Somewhat Adequate | 4 = Mostly Adequate | 5 = Completely Adequate | 6 = N/S | 7 = N/D
On-site triage,On-site triage,On-site triage
Primary triage system used,,Type of primary triage used: | STIEVE | Urgent/non-urgent | START | mSTART | JumpSTART | SIEVE | Care Flight | SALT | PTT | MITT | STM | Homebush | MPTT | Other
Secondary triage system used,,Type of secondary triage used: | Urgent/non-urgent | SAVE | SORT | META | SwiFT | SMART | Other
Time point at which triage was ordered by the medical incident commander,,DD:HH:MM of triage initiation by incident commander | Time when EMS responders are alerted (“Alerted”)
Time point at which the first ill/injured survivor has been primary triaged on the site of the disaster,,DD:HH:MM of the first ill/injured survivor who had primary triage at the disaster site | Time of primary triage of each survivor onsite (“Arrival on scene”)
Time point at which the first ill/injured survivor has been secondary triaged on the site of the disaster,,DD:HH:MM of the first ill/injured survivor who had secondary triage at the disaster site | Time of secondary triage of each survivor onsite (“Arrival on scene”)
Time point at which the last ill/injured survivor has been primary triaged on the site of the MCI/disaster,,DD:HH:MM of the last ill/injured survivor who had primary triage at the disaster site | Time of primary triage of each survivor onsite (“Arrival on scene”)
Time point at which the last ill/injured survivor has been secondary triaged on the site of the MCI/disaster,,DD:HH:MM of the last ill/injured survivor who had secondary triage at the disaster site | Time of secondary triage of each survivor onsite (“Arrival on scene”)
Percentage of “immediate” category (T1) survivors primary triaged by first responders per time unit after initiation of the response |  |  | *initiation of the response is Time point of the activation of the DMMP,,Number of primary triaged T1 survivors within each identified time interval after the activation of the DMMP:  | 1 minute1 | 5 minutes1 | 10 minutes1 | 15 minutes2 | 30 minutes2 | 1 hour2 | Time of primary triage of T1 survivors onsite | Total number of survivors onsite | Time point of the activation of the DMMP
Percentage of “immediate” category (T1) survivors primary triaged by first responders per time unit after initiation of the response |  |  | *initiation of the response is Time point of the activation of the DMMP,,Number of secondary triaged T1 survivors within each identified time interval after the activation of the DMMP:  | 1 minute1 | 5 minutes1 | 10 minutes1 | 15 minutes2 | 30 minutes2 | 1 hour2 | Time of secondary triage of T1 survivors onsite | Total number of survivors onsite | Time point of the activation of the DMMP
Percentage of “delayed” category (T2) survivors triaged by first responders per time unit after initiation of the response* |  | *initiation of the response is Time point of the activation of the DMMP,,Number of primary triaged T2 survivors within each identified time interval after the activation of the DMMP: | 1 minute1 | 5 minutes1 | 10 minutes1 | 15 minutes2 | 30 minutes2 | 1 hour2 | Time of primary triage of T2 survivors onsite | Total number of survivors onsite | Time point of the activation of the DMMP |  | 1Added by the project team | 2 Originally recommended by the template
